      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.164000         647.134477        -643.502207        7439.172431           0.016514          -0.016611          -2.179708          -0.714184           0.713946           8.189715         647.832146        -644.199542        7433.162424
      12.165000         620.591489        -616.877072        7488.247148           0.016166          -0.016263          -2.180941          -0.717042           0.716817           8.185049         621.292364        -617.577626        7482.243040
      12.166000         593.472639        -589.685482        7537.511661           0.015811          -0.015908          -2.182171          -0.719821           0.719607           8.180245         594.176649        -590.389181        7531.513586
      12.167000         565.791204        -561.940583        7586.971650           0.015453          -0.015550          -2.183417          -0.722490           0.722287           8.175394         566.498241        -562.647320        7580.979673
      12.168000         537.572304        -533.667295        7636.825910           0.015094          -0.015190          -2.184634          -0.724796           0.724601           8.171828         538.282006        -534.376706        7630.838717
      12.169000         508.837223        -504.886504        7687.167230           0.014730          -0.014826          -2.185765          -0.726904           0.726717           8.169176         509.549397        -505.598396        7681.183819
      12.170000         479.646765        -475.658449        7737.799924           0.014360          -0.014456          -2.186817          -0.728935           0.728754           8.167174         480.361340        -476.372748        7731.819567
      12.171000         450.054359        -446.036472        7788.641215           0.013984          -0.014080          -2.187794          -0.730918           0.730742           8.165697         450.771292        -446.753134        7782.663311
      12.172000         420.064921        -416.025353        7839.690514           0.013604          -0.013699          -2.188694          -0.732854           0.732682           8.164755         420.784172        -416.744336        7833.714453
      12.173000         389.683615        -385.630111        7890.947052           0.013217          -0.013312          -2.189518          -0.734741           0.734571           8.164356         390.405139        -386.351369        7884.972214
      12.174000         358.915846        -354.855999        7942.409873           0.012826          -0.012921          -2.190264          -0.736576           0.736406           8.164506         359.639596        -355.579485        7936.435631
      12.175000         327.736717        -323.677933        7994.062121           0.012459          -0.012554          -2.190999          -0.738516           0.738346           8.165712         328.462774        -324.403725        7988.087408
      12.176000         296.093709        -292.043232        8045.881485           0.012179          -0.012274          -2.191843          -0.740927           0.740755           8.168973         296.822458        -292.771713        8039.904355
      12.177000         264.094664        -260.059595        8097.924295           0.011895          -0.011990          -2.192613          -0.743365           0.743189           8.172727         264.826134        -260.790794        8091.944181
      12.178000         231.794824        -227.782344        8150.162112           0.011612          -0.011706          -2.193314          -0.745712           0.745533           8.177136         232.528925        -228.516170        8144.178290
      12.179000         199.408650        -195.426512        8202.321945           0.011329          -0.011424          -2.193851          -0.747949           0.747763           8.181761         200.145270        -196.162852        8196.334035
      12.180000         166.978064        -163.033806        8254.357042           0.011044          -0.011139          -2.194203          -0.750154           0.749960           8.186386         167.717173        -163.772628        8248.364859
      12.181000         134.544145        -130.645080        8306.223537           0.010757          -0.010851          -2.194368          -0.752341           0.752139           8.190974         135.285730        -131.386368        8300.226931
